scenario,step,lane_id,queue_length,waiting_time,vehicle_count,throughput,signal_phase,emergency_count,accident_alert
normal,42,east,22,66,0,5,east,0,False
normal,42,south,61,183,3,0,east,0,False
normal,42,west,28,84,0,0,east,0,False
normal,43,north,23,69,1,0,east,0,False
normal,43,east,18,54,1,5,east,0,False
normal,43,south,63,189,2,0,east,0,False
normal,43,west,31,93,3,0,east,0,False
normal,44,north,25,75,2,0,east,0,False
normal,44,east,13,39,0,5,east,0,False
normal,44,south,65,195,2,0,east,0,False
normal,44,west,31,93,0,0,east,0,False
normal,45,north,29,87,4,0,east,0,False
normal,45,east,10,30,2,5,east,0,False
normal,45,south,65,195,0,0,east,0,False
normal,45,west,32,96,1,0,east,0,False
normal,46,north,29,87,0,0,east,0,False
normal,46,east,7,21,2,5,east,0,False
normal,46,south,68,204,3,0,east,0,False
normal,46,west,33,99,1,0,east,0,False
normal,47,north,31,93,2,0,east,0,False
normal,47,east,4,12,2,5,east,0,False
normal,47,south,68,204,0,0,east,0,False
normal,47,west,37,111,4,0,east,0,False
normal,48,north,31,93,0,0,south,0,False
normal,48,east,7,21,3,0,south,0,False
normal,48,south,64,192,1,5,south,0,False
normal,48,west,40,120,3,0,south,0,False
normal,49,north,34,102,3,0,south,0,False
normal,49,east,8,24,1,0,south,0,False
normal,49,south,59,177,0,5,south,0,False
normal,49,west,42,126,2,0,south,0,False
normal,50,north,36,108,2,0,south,0,False
normal,50,east,9,27,1,0,south,0,False
normal,50,south,55,165,1,5,south,0,False
normal,50,west,44,132,2,0,south,0,False
normal,51,north,36,108,0,0,south,0,False
normal,51,east,9,27,0,0,south,0,False
normal,51,south,52,156,2,5,south,0,False
normal,51,west,47,141,3,0,south,0,False
normal,52,north,38,114,2,0,south,0,False
normal,52,east,11,33,2,0,south,0,False
normal,52,south,49,147,2,5,south,0,False
normal,52,west,48,144,1,0,south,0,False
normal,53,north,39,117,1,0,south,0,False
normal,53,east,13,39,2,0,south,0,False
normal,53,south,48,144,4,5,south,0,False
normal,53,west,51,153,3,0,south,0,False
normal,54,north,40,120,1,0,south,0,False
normal,54,east,17,51,4,0,south,0,False
normal,54,south,45,135,2,5,south,0,False
normal,54,west,56,168,5,0,south,0,False
