timestamp,selected_phase,green_duration,reason,decision_latency_seconds,scenario,controller
91,south,3,dqn_policy,6e-06,emergency,ai_controller
92,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
93,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
94,south,3,dqn_policy,6e-06,emergency,ai_controller
95,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
96,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
97,north,3,dqn_queue_pressure,5e-06,emergency,ai_controller
98,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
99,south,3,dqn_policy,6e-06,emergency,ai_controller
100,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
101,south,3,dqn_policy,6e-06,emergency,ai_controller
102,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
103,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
104,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
105,south,3,dqn_policy,6e-06,emergency,ai_controller
106,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
107,south,3,dqn_policy,6e-06,emergency,ai_controller
108,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
109,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
110,south,3,dqn_policy,6e-06,emergency,ai_controller
111,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
112,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
113,east,3,dqn_queue_pressure,7e-06,emergency,ai_controller
114,south,3,dqn_policy,6e-06,emergency,ai_controller
115,east,3,dqn_queue_pressure,6e-06,emergency,ai_controller
116,south,3,dqn_policy,6e-06,emergency,ai_controller
117,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
118,west,3,dqn_queue_pressure,6e-06,emergency,ai_controller
119,north,3,dqn_queue_pressure,6e-06,emergency,ai_controller
0,north,3,dqn_policy,1.4e-05,accident,ai_controller
1,east,3,dqn_queue_pressure,8e-06,accident,ai_controller
2,south,3,dqn_policy,7e-06,accident,ai_controller
3,west,3,dqn_queue_pressure,7e-06,accident,ai_controller
4,south,3,dqn_policy,7e-06,accident,ai_controller
5,north,3,dqn_queue_pressure,7e-06,accident,ai_controller
6,east,3,dqn_queue_pressure,7e-06,accident,ai_controller
7,south,3,dqn_policy,7e-06,accident,ai_controller
8,north,3,dqn_queue_pressure,6e-06,accident,ai_controller
9,west,3,dqn_queue_pressure,6e-06,accident,ai_controller
10,west,3,dqn_queue_pressure,6e-06,accident,ai_controller
11,north,3,dqn_queue_pressure,6e-06,accident,ai_controller
12,south,3,dqn_policy,6e-06,accident,ai_controller
13,south,3,dqn_policy,6e-06,accident,ai_controller
14,north,3,dqn_queue_pressure,6e-06,accident,ai_controller
15,south,3,dqn_policy,6e-06,accident,ai_controller
16,east,3,dqn_queue_pressure,6e-06,accident,ai_controller
17,east,3,dqn_queue_pressure,6e-06,accident,ai_controller
18,west,3,dqn_queue_pressure,6e-06,accident,ai_controller
